state,date,county,hospitalizedCurrently,hospitalizedCumulative
FL,2020-03-26,Sarasota,,47
FL,2020-03-27,Sarasota,,51
FL,2020-03-28,Sarasota,,53
FL,2020-03-29,Sarasota,,55
FL,2020-03-30,Sarasota,,56
FL,2020-04-01,Sarasota,,61
FL,2020-04-02,Sarasota,,62
FL,2020-04-03,Sarasota,,65
FL,2020-04-04,Sarasota,,69
FL,2020-04-05,Sarasota,,70
FL,2020-04-06,Sarasota,,71
FL,2020-04-09,Sarasota,,72
FL,2020-03-06,Seminole,,2
FL,2020-03-08,Seminole,,4
FL,2020-03-10,Seminole,,5
FL,2020-03-11,Seminole,,8
FL,2020-03-12,Seminole,,11
FL,2020-03-13,Seminole,,13
FL,2020-03-14,Seminole,,15
FL,2020-03-15,Seminole,,16
FL,2020-03-16,Seminole,,17
FL,2020-03-17,Seminole,,20
FL,2020-03-18,Seminole,,25
FL,2020-03-20,Seminole,,28
FL,2020-03-21,Seminole,,29
FL,2020-03-22,Seminole,,34
FL,2020-03-23,Seminole,,36
FL,2020-03-24,Seminole,,37
FL,2020-03-25,Seminole,,39
FL,2020-03-26,Seminole,,40
FL,2020-03-27,Seminole,,43
FL,2020-03-28,Seminole,,45
FL,2020-03-29,Seminole,,50
FL,2020-03-30,Seminole,,52
FL,2020-03-31,Seminole,,53
FL,2020-04-02,Seminole,,54
FL,2020-04-05,Seminole,,55
FL,2020-04-06,Seminole,,56
FL,2020-04-08,Seminole,,58
FL,2020-03-05,St. Johns,,1
FL,2020-03-06,St. Johns,,2
FL,2020-03-07,St. Johns,,3
FL,2020-03-09,St. Johns,,4
FL,2020-03-12,St. Johns,,5
FL,2020-03-13,St. Johns,,8
FL,2020-03-14,St. Johns,,10
FL,2020-03-16,St. Johns,,11
FL,2020-03-18,St. Johns,,14
FL,2020-03-19,St. Johns,,16
FL,2020-03-20,St. Johns,,19
FL,2020-03-21,St. Johns,,21
FL,2020-03-22,St. Johns,,24
FL,2020-03-25,St. Johns,,26
FL,2020-03-26,St. Johns,,28
FL,2020-03-28,St. Johns,,29
FL,2020-03-31,St. Johns,,30
FL,2020-04-01,St. Johns,,31
FL,2020-03-03,St. Lucie,,1
FL,2020-03-04,St. Lucie,,2
FL,2020-03-09,St. Lucie,,3
FL,2020-03-10,St. Lucie,,4
FL,2020-03-14,St. Lucie,,7
FL,2020-03-16,St. Lucie,,12
FL,2020-03-17,St. Lucie,,13
FL,2020-03-18,St. Lucie,,16
FL,2020-03-19,St. Lucie,,18
FL,2020-03-20,St. Lucie,,19
FL,2020-03-22,St. Lucie,,22
FL,2020-03-23,St. Lucie,,24
FL,2020-03-24,St. Lucie,,25
FL,2020-03-26,St. Lucie,,26
FL,2020-03-27,St. Lucie,,28
FL,2020-03-29,St. Lucie,,30
FL,2020-03-30,St. Lucie,,32
FL,2020-03-31,St. Lucie,,34
FL,2020-04-01,St. Lucie,,36
FL,2020-04-03,St. Lucie,,37
FL,2020-04-07,St. Lucie,,39
FL,2020-04-08,St. Lucie,,40
FL,2020-04-09,St. Lucie,,41
FL,2020-03-09,Sumter,,1
FL,2020-03-13,Sumter,,2
FL,2020-03-14,Sumter,,4
FL,2020-03-15,Sumter,,6
FL,2020-03-17,Sumter,,10
FL,2020-03-18,Sumter,,11
FL,2020-03-19,Sumter,,12
FL,2020-03-21,Sumter,,14
FL,2020-03-22,Sumter,,15
FL,2020-03-23,Sumter,,20
FL,2020-03-24,Sumter,,21
FL,2020-03-25,Sumter,,22
FL,2020-03-27,Sumter,,23
FL,2020-03-28,Sumter,,24
FL,2020-03-30,Sumter,,25
FL,2020-04-04,Sumter,,26
FL,2020-04-07,Sumter,,27
FL,2020-03-26,Suwannee,,1
FL,2020-03-30,Suwannee,,2
FL,2020-04-01,Suwannee,,3
FL,2020-04-03,Suwannee,,6
FL,2020-04-05,Suwannee,,7
FL,2020-04-07,Suwannee,,9
FL,2020-03-05,Volusia,,2
FL,2020-03-06,Volusia,,3
FL,2020-03-08,Volusia,,4
FL,2020-03-10,Volusia,,6
FL,2020-03-11,Volusia,,8
FL,2020-03-12,Volusia,,10
FL,2020-03-14,Volusia,,11
FL,2020-03-15,Volusia,,14
FL,2020-03-16,Volusia,,17
FL,2020-03-17,Volusia,,18
FL,2020-03-18,Volusia,,19
FL,2020-03-19,Volusia,,22
FL,2020-03-20,Volusia,,23
FL,2020-03-21,Volusia,,25
FL,2020-03-23,Volusia,,27
FL,2020-03-24,Volusia,,31
FL,2020-03-25,Volusia,,33
FL,2020-03-26,Volusia,,36
FL,2020-03-27,Volusia,,37
FL,2020-03-28,Volusia,,40
FL,2020-03-29,Volusia,,41
FL,2020-03-31,Volusia,,42
FL,2020-04-01,Volusia,,44
FL,2020-04-02,Volusia,,45
FL,2020-04-08,Volusia,,46
FL,2020-04-10,Volusia,,47
FL,2020-03-19,Wakulla,,2
FL,2020-03-28,Wakulla,,3
FL,2020-03-30,Wakulla,,4
FL,2020-03-31,Wakulla,,5
FL,2020-03-06,Walton,,1
FL,2020-03-09,Walton,,2
FL,2020-03-13,Walton,,3
FL,2020-03-19,Walton,,5
FL,2020-03-21,Washington,,1
